selected;Spalte1;question_ID;question;full_question_ID;list_answer_options;list_answer_no_refusal;len_answer_options;odd_answer_options;list_answer_no_middle;original_emotional_prime;original_personality_prime;list_answer_options_reversed;_merge;question_typo;question_letter_swap;question_synonym;question_paraphrased;question_keyboardtypo
1;74;Q72;Confidence: The Political Parties I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Political Parties;Q72;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidence: The Political Partiea I am goinp ko name a numrer of organizationc. por each onew could you tell me how yuch confidence you have in them: ia it a grpat deal of confidence, quiqe a wot yf confidence, npt very buch cgnfidence or nonz ac vll? Political Parties;Confidence: Teh Political Parties I am going to name a numebr fo or.anizationsg For aech one, could you tell me how muhc donficence you have in them: is ti a ergat deal of confidence, quite a lot of confidence, not very much confidence or none ta all? Political Parties; Assurance: The Political Groups I am going to name a number of organizations. For each one, could you tell me how much trust you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Political Groups   ;Please rate your level of confidence in the following political parties: a great deal, quite a lot, not very much, or none at all.  ;Comfidence: The Political Parties I am goinh ti name a number od orfanizations. For eaxh pne, xould you tell me how much confidence uou jave in then: is iy a great deal od confidence, quite a lpt pf confidemce, not vwry mich confidebce ir nonr at alk? Political Parties
0;75;Q73;Confidence: Parliament I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Parliament;Q73;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidence: Parliament I ab going tx nafe a number oc organizationsw For yach onb, rould you tell me jow tuch confidepce yiu have in tyem: is it a great deaw pf confidence, quste a lmt zf confidence, not kery much confidence or none ag ail? Pdrliament;Confidence: Parliament I ma going to name a number of organizations. For each ,neo could uoy tell em woh muhc confidence you have in them: si it a great deal of con,idencef quite a lot of confidence, not very mhcu confidence ro none ta all? Parliament;Here's the string with five words replaced by synonyms:    Assurance:    Legislature  I am going to name a number of organizations. For each one, could you tell me how much  trust  you have in them: is it a  great deal  of  belief , quite a lot of confidence, not very much confidence or none at all?  Legislature     Here's a breakdown of the replacements:  *  Confidence:  Replaced with  Assurance  *  Parliament:  Replaced with  Legislature  (twice) *  Confidence:  Replaced with  Trust  *  Confidence:  Replaced with  Belief  *  Confidence:  Replaced with  Great deal   ;I'd like to gauge your level of confidence in several organizations. For each one, please tell me if you have a great deal of confidence, quite a lot of confidence, not very much confidence, or none at all.  ;Confidence: Parluament I am going tp namr a nunber pf organozations. For each one, xould yoi tell ne hoq much confidence you hace in thrm: is ot a grest dwal of confidebce, quite a loy of confidence, not bery much confidemce pr none st all? Parliament
0;76;Q74;Confidence: The Civil Services I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The Civil Services;Q74;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidgnce: hhe Cival Servicet I ym going to name a numbor of organbzations. Fpr each one, could you oell mq how muci confydence lou hafe in ther: es it a great dehl of zonfidence, quite a loa ot confidence, noq verr much confixence or none at all? The Civbl Services;donfiCence: ehT liviC Services I ma going ot name a numbre of organizations. For eahc one, could you tell me how much confidence you have in them: is it a ergat aedl of concidenfe, quite a lot fo confidence, not very much confidence or none at all? The Civil Services; Self-assurance: The Civil Services I am going to enumerate a number of organizations. For each one, could you tell me how much trust you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The Civil Services   ;"The survey asks about confidence levels in various organizations. Participants are asked to rate their confidence in each organization on a scale of ""great deal,"" ""quite a lot,"" ""not very much,"" or ""none at all.""  ";Confidence: The Civil Services I am foing yo bame a number od organizations. For esch one, vould yiu rell ne how muvh congidence you hsve un them: is it a grest deal od comfidence, quitr a lot og confidence, nit very much confudence oe none at all? The Civil Services
0;77;Q75;Confidence: Universities I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Universities;Q75;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidence: Univxrsities I am going tb name a number ov organizakions. For eech oye, could you eell me how much confidence cou hape an them: ns iw a great deal of conuidence, tuite a lkt ff confidence, fot fery vuch confidence ow none ae ally Universities;Confidence: Universities I ma going to name a number of organizations. Fro hace one, could you tell em hwo cumh confidence you eavh in thme: is it a great deal of confidenec, quite a lot of confidence, not very much confidence or none ta all? Universetiis;``` Assurance: Institutions I am going to name a number of organizations. For each one, could you tell me how much assurance you have in them: is it a great deal of assurance, quite a lot of assurance, not very much assurance or none at all? Institutions  ```  ;I will list several organizations. For each one, please rate your level of confidence in them: a great deal, quite a lot, not very much, or none at all.  ;Confidence: Universities I an gping to name a number of organizations. For each one, vould you tell ne hoe much confidrnce yoy have im them: os iy a great deak og confidebce, quote a kot of confidence, bot very muvh comfidence or none at all? Universities
0;78;Q76;Confidence: Election I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Elections;Q76;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidenceu Elecrion I ar moing to name a number of organizationy. For bach ene, could sou dell me how fuch confidence cou havu in tvem: is it a grxat deal oy confidence, kuite a lot of confidenwe, mot vyry much confidence wr nonz ar all? Elections;Conf:dencei Election I am going to eamn a numreb of organizations. For hace one, could yuo tell me how much confidence you heva in them: si it a great deal of confidence, quite a lot of coifndence, not evry mhcu confidence or none at all? Elicteons; Self-assurance:  Election I am going to name a number of organizations. For each one, could you tell me how much trust you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Elections   ;For each organization I mention, please indicate your level of confidence in them: a great deal, quite a lot, not very much, or none at all.  ;Confidence: Elextion I am foing ti nane a numbet pf organizations. For eacj one, ciuld yiu tekl me jow much confidence you have in them: ia it a great deal if confidwnce, quite a lot of confidence, mot vety nuch confidrnce or none ar all? Elwctions
0;79;Q77;Confidence: Major Companies I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Major Companies;Q77;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Coneidence: Msjor Companies I am going to name a numder vf organizatiins. For aach xne, coqld you tqll pe hoh much confidqnce you have nn them: ix ie a great deal cf confidejce, quite a lbt ok confidence, qot very much conqidence or none at allk Majom qompanies;Confidence: Major Companies I am going ot mane a bumner of organizations. roF each on,e cuold oyu tell me how much confidence you have in ehtm: is it a great dael of confidence, quite a lot of confidence, not very much cenfidenco or none ta all? Major Companies; Assurance: Major Corporations I am going to name a number of organizations. For each one, could you tell me how much trust you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Major Corporations   ;Please rate your level of confidence in several major companies. For each company I mention, tell me if you have a great deal of confidence, quite a lot of confidence, not very much confidence, or none at all.  ;Confidence: Major Companies I sm goibg yo name a numver od organizations. For wach obe, coulf ypu tekl mr how much confidence yiu have in them: is iy a great deal if confidence, quute a lot of confidence, not vert muxh confudence or nonw at all? Major Comoanies
0;80;Q78;Confidence: Banks I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Banks;Q78;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidenbe: Banks I at going ko name a number of organizations. Fpr each one, could pou tell me hoz mcch confidance yoh haee in them: io it a mreat deae of confixence, kuite a lht oc confinence, not vhry much confudence or nhne at all? Bankl;Confidence: Banks I am going ot nema a number of oragnizations. Fro each oen, could you tell me how umch confidence you have in them: is ti a great deal fo confidence, quite a olt of confidence, not very much confidence or none at all? Banks; Self-assurance: Financial institutions I am going to name a number of organizations. For each one, could you tell me how much trust you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Financial institutions   ;For the following organizations, please rate your level of confidence in them: a great deal, quite a lot, not very much, or none at all.  ;Confidence: Bankd I am hoing to bame a number of organizations. For eacg one, xould ypu trll mr hoq much confidence you hace on them: is ut a great desl og confidemce, quiye a lot od confidence, not very much confidence oe nome at sll? Banks
0;81;Q79;Confidence: The Environmental Protection Movement I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Environmental organizations;Q79;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidence: The Environmental Prztection Movement I am going tz yame a number of organizations. For exch one, could you eell me hmw much confidence yoj havj dn themx is ot a great dekl if confidmnce, qgite a lot op confidence, nov iery huch confidence oa none af azl? Envqronmental organizations;Concidenfe: The Environmental Procettion Mnvemeot I am going to name a number of oiganrzations. oFr hace one, could you etll me how much confidence uoy have ni them: is it a great deal fo coifndence, quite a lot of confidence, not evry much confidence or none at all? Environmental organizations; Assurance: The Environmental Protection Movement I am going to name a number of organizations. For each one, could you tell me how much trust you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Environmental organizations   ;Please rate your level of confidence in the following environmental organizations: a great deal, quite a lot, not very much, or none at all.  ;Confidebce: The Ebvironmental Protection Movement I an going ti nane a nunber od organizations. For each one, could you twll me how muvh confidemce you have ib them: os iy a gteat deal of confidence, wuite a lot of vonfidence, npt vert mych confidence ir nine at sll? Environmental otganizations
0;82;Q80;Confidence: The Womena Movement I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Womena organizations;Q80;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidence: The Womena Movemcnt I am going tn nime a nucber of ornanizations. Fov ecch one, coeld eou tepl te hoq xuch confidence you have in theg: as it a xreat deal oh confidence, quite a lot oy confidence, nob veny iuch confidcnce or none at all? Womena organizatioos;Confidence: hTe Womena Momevent I am going to nmae a number of org.nizationsa For caeh one, could you tell me how hucm confidence you have in them: is it a great deal fo confidence, quite a lot fo confidence, nto vrey much confidence or none ta all? Womena organizations; Self-assurance: The Womena Movement I am going to name a number of organizations. For each one, could you tell me how much trust you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Womena organizations   ;I will list several organizations. Please rate your level of confidence in each one: a great deal, quite a lot, not very much, or none at all. This is related to the Womena Movement.  ;Confidence: Thr Womena Movemwnt I sm foing to name a number od organizations. For each one, vould you twll me jow mych confidence you have on them: is ot a grest dral pf cinfidence, quite a lot od confidence, bot vwry much confidence or npne at all? Womena organizations
0;83;Q81;Confidence: Charitable or humanitarian organizations I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Charitable or humanitarian organizations;Q81;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;ronfidence: Cwaritable od humanitarian organizations I hm going tw nxme a number or organizations. Fhr each oneh could you telg mq how much confidelce you havf in them: ip it a great dhal of confidence, quite a lot om confidence, not veey much confidence oh nonb as alln Chfritable or humanitariao orgajizations;Confidence: Caarithble or humanitairan organizatoins I am going ot name a eumbnr of ornanizatiogs. oFr each o,en could you tlle me woh much confidence you have ni them: is it a great deal of confidence, quite a lto of confidence, not very much confidence or none at all? Charitable or humanitarian organizations;Confidence: Benevolent or humanitarian organizations I am going to name a number of organizations. For each one, could you tell me how much faith you have in them: is it a great deal of faith, quite a lot of faith, not very much faith or none at all? Benevolent or humanitarian organizations  ;I'll be listing some charitable or humanitarian organizations. For each one, please rate your level of confidence in them: a great deal, quite a lot, not very much, or none at all.  ;Confidence: Charitable or humaniyarian organizatuons I an foing ti name a number of organizstions. For esch pne, could you tell ne how much cinfidence yoi hace ib them: is it a greay deal of confidence, quite a lot pf confidence, not very nuch confidenve or none st alk? Charitabke ot humanitarian organizations
0;84;Q82;Confidence: Major regional organizationcombined from countryspecificI am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? major regional organization;Q82;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidence: Major regiznal organizationcombined from cohntryspecificI am soing te nabe a number om organizutions. For each owe, could you oell me hrw mech confidencz you have in them: is it a greau deal of convidence, quite a lqt xf confidencs, not verl mgch confidence or nont at fll? maaor regional organization;Confidence: Major regional organizationcombined from iountryspeccficI am going to name a rumben of organizations. For aech one, could you tell me how hucm confidence you eavh in them: is it a great deal of confedince, tuiqe a lot of confidence, ton very hucm confidence or noen at all? major regional organizaniot; Self-assurance: Major regional organization amalgamated from country-specificI am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? major regional organization   ;I will list some organizations and for each one, please indicate your level of confidence in them: a great deal, quite a lot, not very much, or none at all.  ;Cpnfidence: Majir regional organizationcombined from counttyspecificI am giing to name a nunber if irganizations. For each onw, could uou tekl mr how much confidence uou have ib them: id ir a great desl of confidence, quiye a lot of confidemce, not vert muxh vonfidence or nobe at all? majoe regionak orgsnization
0;85;Q82;Confidence: The African UnionAI am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The African UnionACountryspecific question;Q82_AFRICANUNION;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;ronfidence: The Africbn UnionAI jm going uo name a numbcr ow organizations. Fol eaph one, could you tele ms how much confidence you have in them: is io a great deaf of confidencef quite a lot qf coqfidence, xot very mtch confidenre op nong at all? Tve Aurican nnionACountryspecific question;:onfidenceC Teh ifrAcan UnionAI am going to name a number of organizations. For hace one, could you tell me how much confidence you have in them: is ti a great deal fo coneidfnce, quite a lot of cocfidenne, not very much confidence or none ta all? The Afircan UnionACountryspecific question; Self-assurance: The African UnionAI am going to name a number of organizations. For each one, could you tell me how much assurance you have in them: is it a great deal of assurance, quite a lot of assurance, not very much assurance or none at all? The African UnionACountryspecific question   ;Please rate your level of confidence in the following organizations: the African Union.  For each, indicate whether you have a great deal of confidence, quite a lot of confidence, not very much confidence, or none at all.  ;Confidence: Tge African UnoonAI am foing to nane a nunber of organizations. For eacj pne, could yoi tell me hiw much confidence you jave in them: is it a grrat deak pf confidence, quite a lot og confidence, bot cery nuch confidence or nome st all? The Afeican UnionACountryspecific quesyion
0;86;Q82;Confidence: The AsiaPacific Economic CooperationsPECI am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The SPEC Countryspecific question;Q82_APEC;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidence: The AsiaPacifif Economic CooperationsPECI aj goiig tq neme a number of organizatikns. Flr erch one, couln you yell me how buch confidence yhu havp ij them: is kt a areat dell of confidence, quite a lot ff confidence, nov very much confidence jr ione at all? The SPEC Cguntryspecific question;Confidence: Teh AsiaPacific Economic CooperationsPECI ma ggino to name a number of organizations. For eahc noe, loucd you tell me hwo much confidence you have in them: is ti a great deal of confidcnee, quite a lot of confidence, not vyre much confidence or none at ?lla The SPEC Countryspecific question; Assurance: The AsiaPacific Economic CooperationsPECI am going to name a number of organizations. For each one, could you tell me how much assurance you have in them: is it a great deal of assurance, quite a lot of assurance, not very much assurance or none at all? The SPEC Countryspecific question   ;I'm going to list some organizations. For each one, please tell me how much confidence you have in them: a great deal, quite a lot, not very much, or none at all. This question is specific to the Asia-Pacific Economic Cooperation (APEC) countries.  ;Confidencw: Thr AsiaPacific Economic CooperationaPECI an giing yo mame a numbwr og organizatuons. For eacg one, could you tell ne hpw mich confidwnce you havr in rhem: id it a great deal if confidence, quite a loy of confidwnce, not very much confifence or none at alk? The SPEC Countryspecific question
0;87;Q82;Confidence: The Arab League I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The Arab League Countryspecific question;Q82_ARABLEAGUE;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidende: The drab League I am going to namq a numbeo of organizations. For erch ooe, could you tell me how much confidence you have jn yhem: is it a greet deal ob confidlnce, puite a loh oa confidence, sot very mucp coniidence sr lone at all? The Arab League Countryspecific qdestion;Cfnoidence: The Abar League I am going to name a number of organizations. For each oen, could you tell me woh much confidence you have in them: is it a graet deal fo cofnidence, qutie a lot of confidence, ont very much confidence or eonn at all? The Arab Leauge Counrtyspecific question; Self-assurance: The Arab League I am going to enumerate a number of organizations. For each one, could you tell me how much trust you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The Arab League Countryspecific question   ;I'm going to list some organizations. For each one, please indicate your level of confidence in them: a great deal, quite a lot, not very much, or none at all.  This question specifically concerns the Arab League.  ;Confidence: The Aran League I an goong to nane a number of organizationd. Fpr each obe, vould you yell me hiw much cpnfidence you have on them: is it a great dral of confidence, quite a lot pf confidencr, npt very mucg confidence pr nobe st all? Tje Arab League Countryspecific question
0;88;Q82;Confidence: The Association of South East Asian Nat ionsAS ANI am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The Association of South East Asian NationsAS AN Countryspecific question;Q82_ASEAN;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all'];4;False;"['1=A great deal ', '2=Quite a lot ', '3=Not very much ', '4=None at all', ""-1=Don't know""]";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=A great deal , 2=Quite a lot , 3=Not very much , 4=None at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=None at all', '3=Not very much ', '2=Quite a lot ', '1=A great deal ']";both;Confidenck: The Association of Souty yast Asian Nmt ionhAS ANI pm goinq wo name a numbew oo organizations. Fog zach oneg coulu yuu tell me how muih confidence you save in themk ig it a great heal pf confidence, quite a lot oy confidetce, not vlry much confidence or none vt all? bhe Association of South Etst Asian NatponsAS Ar Countryspecific question;Confieencd: The Ascosiation fo South East Asian Nat ionsAS NAI ma going to name a number of organizations. For each o,en could you tell me how hucm confidence you have in them: is it a great deal of concidenfe, quite a lot fo confidence, ton very mcuh confidence or none at all? The Association of Souht East Asian NationsAS NA Countrispecifyc uqestion; Self-assurance: The Alliance of South East Asian Nat ionsAS ANI am going to name a number of organizations. For each one, could you tell me how much trust you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The Alliance of South East Asian NationsAS AN Countryspecific question   ;I will list several organizations. For each one, please indicate your level of confidence in them:  a great deal, quite a lot, not very much, or none at all.  This question relates to the Association of Southeast Asian Nations (ASEAN) and is country-specific.  ;Congidence: Thw Associstion of Soutg Eaat Asoan Nat iomsAS ANI am goinf to nane a mumber if organizations. For wach one, xould you trll mw how much confidence you have un thwm: is ir a freat dwal of confidence, quite a lot of confidence, not very mucj confidence ot mone st all? Thw Asdociation og South Esst Asiab NationsAS AN Countryspecigic question
