,Category,Question,Model,Type,KL Divergence
318,Confidence in Institutions,Q72,Gemini-1.5-Pro,Keyboard Typos,6.21
319,Confidence in Institutions,Q72,Gemini-1.5-Pro,Paraphrase x Reversed,16.82
320,Confidence in Institutions,Q72,Phi-3.5-mini,Missing Refusal,0.0
321,Confidence in Institutions,Q72,Phi-3.5-mini,Even Scale,2.43
322,Confidence in Institutions,Q72,Phi-3.5-mini,Reversed Answer Options,17.03
323,Confidence in Institutions,Q72,Phi-3.5-mini,Emotional Priming,2.43
324,Confidence in Institutions,Q72,Phi-3.5-mini,Key Typos,12.17
325,Confidence in Institutions,Q72,Phi-3.5-mini,Letter Swap,9.73
326,Confidence in Institutions,Q72,Phi-3.5-mini,Synonyms,4.87
327,Confidence in Institutions,Q72,Phi-3.5-mini,Paraphrase,7.3
328,Confidence in Institutions,Q72,Phi-3.5-mini,Keyboard Typos,14.6
329,Confidence in Institutions,Q72,Phi-3.5-mini,Paraphrase x Reversed,17.03
330,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Missing Refusal,0.0
331,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Even Scale,0.0
332,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Reversed Answer Options,4.87
333,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Emotional Priming,9.73
334,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Key Typos,12.17
335,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Letter Swap,7.3
336,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Synonyms,0.0
337,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Paraphrase,14.6
338,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Keyboard Typos,12.17
339,Confidence in Institutions,Q72,Mistral-7B-Instruct-v0.3,Paraphrase x Reversed,17.03
340,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Missing Refusal,4.87
341,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Even Scale,0.0
342,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Reversed Answer Options,2.66
343,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Emotional Priming,0.43
344,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Key Typos,7.44
345,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Letter Swap,0.0
346,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Synonyms,0.28
347,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Paraphrase,7.3
348,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Keyboard Typos,7.37
349,Confidence in Institutions,Q72,Qwen-2.5-7B-Instruct,Paraphrase x Reversed,4.91
350,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Missing Refusal,2.43
351,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Even Scale,2.43
352,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Reversed Answer Options,2.43
353,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Emotional Priming,12.17
354,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Key Typos,9.73
355,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Letter Swap,7.3
356,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Synonyms,4.87
357,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Paraphrase,12.17
358,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Keyboard Typos,12.17
359,Confidence in Institutions,Q72,Yi-1.5-6B-Chat,Paraphrase x Reversed,14.6
360,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Missing Refusal,8.94
361,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Even Scale,2.84
362,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Reversed Answer Options,17.03
363,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Emotional Priming,0.0
364,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Key Typos,11.53
365,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Letter Swap,0.0
366,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Synonyms,8.6
367,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Paraphrase,0.0
368,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Keyboard Typos,8.95
369,Active or Inactive Membership,Q99,Llama-3.3-70B-Instruct,Paraphrase x Reversed,8.56
370,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Missing Refusal,1.44
371,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Even Scale,2.04
372,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Reversed Answer Options,7.42
373,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Emotional Priming,1.59
374,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Key Typos,1.01
375,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Letter Swap,1.52
376,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Synonyms,3.81
377,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Paraphrase,2.29
378,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Keyboard Typos,2.52
379,Active or Inactive Membership,Q99,Llama-3.1-8B-Instruct,Paraphrase x Reversed,2.67
380,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Missing Refusal,0.3
381,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Even Scale,6.76
382,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Reversed Answer Options,1.81
383,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Emotional Priming,4.65
384,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Key Typos,6.89
385,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Letter Swap,9.28
386,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Synonyms,6.34
387,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Paraphrase,8.87
388,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Keyboard Typos,5.87
389,Active or Inactive Membership,Q99,Llama-3.2-3B-Instruct,Paraphrase x Reversed,8.23
390,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Missing Refusal,1.64
391,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Even Scale,7.71
392,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Reversed Answer Options,13.78
393,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Emotional Priming,2.23
394,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Key Typos,1.85
395,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Letter Swap,1.34
396,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Synonyms,0.7
397,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Paraphrase,1.1
398,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Keyboard Typos,0.94
399,Active or Inactive Membership,Q99,Llama-3.2-1B-Instruct,Paraphrase x Reversed,12.73
400,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Missing Refusal,0.0
401,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Even Scale,0.0
402,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Reversed Answer Options,0.0
403,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Emotional Priming,2.88
404,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Key Typos,2.84
405,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Letter Swap,0.0
406,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Synonyms,8.52
407,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Paraphrase,0.0
408,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Keyboard Typos,5.68
409,Active or Inactive Membership,Q99,Gemini-1.5-Pro,Paraphrase x Reversed,17.03
410,Active or Inactive Membership,Q99,Phi-3.5-mini,Missing Refusal,5.68
411,Active or Inactive Membership,Q99,Phi-3.5-mini,Even Scale,11.36
412,Active or Inactive Membership,Q99,Phi-3.5-mini,Reversed Answer Options,2.84
413,Active or Inactive Membership,Q99,Phi-3.5-mini,Emotional Priming,0.0
414,Active or Inactive Membership,Q99,Phi-3.5-mini,Key Typos,11.36
415,Active or Inactive Membership,Q99,Phi-3.5-mini,Letter Swap,11.36
416,Active or Inactive Membership,Q99,Phi-3.5-mini,Synonyms,11.36
417,Active or Inactive Membership,Q99,Phi-3.5-mini,Paraphrase,5.68
418,Active or Inactive Membership,Q99,Phi-3.5-mini,Keyboard Typos,14.2
419,Active or Inactive Membership,Q99,Phi-3.5-mini,Paraphrase x Reversed,8.52
420,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Missing Refusal,8.52
421,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Even Scale,5.68
422,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Reversed Answer Options,17.03
423,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Emotional Priming,11.36
424,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Key Typos,11.36
425,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Letter Swap,11.36
426,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Synonyms,8.52
427,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Paraphrase,11.36
428,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Keyboard Typos,11.36
429,Active or Inactive Membership,Q99,Mistral-7B-Instruct-v0.3,Paraphrase x Reversed,11.36
430,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Missing Refusal,3.24
431,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Even Scale,8.63
432,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Reversed Answer Options,9.64
433,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Emotional Priming,11.43
434,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Key Typos,3.0
435,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Letter Swap,2.94
436,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Synonyms,0.0
437,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Paraphrase,14.41
438,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Keyboard Typos,5.68
439,Active or Inactive Membership,Q99,Qwen-2.5-7B-Instruct,Paraphrase x Reversed,17.03
440,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Missing Refusal,0.0
441,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Even Scale,14.2
442,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Reversed Answer Options,17.03
443,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Emotional Priming,5.68
444,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Key Typos,2.84
445,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Letter Swap,0.0
446,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Synonyms,0.0
447,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Paraphrase,5.68
448,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Keyboard Typos,0.0
449,Active or Inactive Membership,Q99,Yi-1.5-6B-Chat,Paraphrase x Reversed,17.03
450,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Missing Refusal,3.07
451,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Even Scale,5.68
452,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Reversed Answer Options,2.84
453,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Emotional Priming,0.0
454,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Key Typos,5.79
455,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Letter Swap,0.0
456,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Synonyms,8.52
457,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Paraphrase,8.52
458,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Keyboard Typos,2.84
459,Immigration and its Effects,Q129,Llama-3.3-70B-Instruct,Paraphrase x Reversed,11.36
460,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Missing Refusal,2.33
461,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Even Scale,6.05
462,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Reversed Answer Options,5.29
463,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Emotional Priming,0.73
464,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Key Typos,2.68
465,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Letter Swap,2.92
466,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Synonyms,0.15
467,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Paraphrase,2.81
468,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Keyboard Typos,3.31
469,Immigration and its Effects,Q129,Llama-3.1-8B-Instruct,Paraphrase x Reversed,7.85
470,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Missing Refusal,1.88
471,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Even Scale,2.06
472,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Reversed Answer Options,7.91
473,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Emotional Priming,1.77
474,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Key Typos,0.82
475,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Letter Swap,0.66
476,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Synonyms,0.29
477,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Paraphrase,1.47
478,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Keyboard Typos,0.94
479,Immigration and its Effects,Q129,Llama-3.2-3B-Instruct,Paraphrase x Reversed,11.36
480,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Missing Refusal,3.07
481,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Even Scale,6.91
482,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Reversed Answer Options,14.87
483,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Emotional Priming,4.53
484,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Key Typos,2.74
485,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Letter Swap,1.31
486,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Synonyms,0.47
487,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Paraphrase,2.3
488,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Keyboard Typos,3.16
489,Immigration and its Effects,Q129,Llama-3.2-1B-Instruct,Paraphrase x Reversed,14.17
490,Immigration and its Effects,Q129,Gemini-1.5-Pro,Missing Refusal,0.0
491,Immigration and its Effects,Q129,Gemini-1.5-Pro,Even Scale,5.68
492,Immigration and its Effects,Q129,Gemini-1.5-Pro,Reversed Answer Options,0.0
493,Immigration and its Effects,Q129,Gemini-1.5-Pro,Emotional Priming,2.84
494,Immigration and its Effects,Q129,Gemini-1.5-Pro,Key Typos,2.84
495,Immigration and its Effects,Q129,Gemini-1.5-Pro,Letter Swap,0.62
496,Immigration and its Effects,Q129,Gemini-1.5-Pro,Synonyms,5.68
497,Immigration and its Effects,Q129,Gemini-1.5-Pro,Paraphrase,2.84
498,Immigration and its Effects,Q129,Gemini-1.5-Pro,Keyboard Typos,8.52
499,Immigration and its Effects,Q129,Gemini-1.5-Pro,Paraphrase x Reversed,14.2
500,Immigration and its Effects,Q129,Phi-3.5-mini,Missing Refusal,2.84
501,Immigration and its Effects,Q129,Phi-3.5-mini,Even Scale,17.03
502,Immigration and its Effects,Q129,Phi-3.5-mini,Reversed Answer Options,8.52
503,Immigration and its Effects,Q129,Phi-3.5-mini,Emotional Priming,0.0
504,Immigration and its Effects,Q129,Phi-3.5-mini,Key Typos,8.52
505,Immigration and its Effects,Q129,Phi-3.5-mini,Letter Swap,2.84
506,Immigration and its Effects,Q129,Phi-3.5-mini,Synonyms,2.84
507,Immigration and its Effects,Q129,Phi-3.5-mini,Paraphrase,8.52
508,Immigration and its Effects,Q129,Phi-3.5-mini,Keyboard Typos,11.36
509,Immigration and its Effects,Q129,Phi-3.5-mini,Paraphrase x Reversed,5.68
510,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Missing Refusal,0.0
511,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Even Scale,17.03
512,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Reversed Answer Options,0.0
513,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Emotional Priming,0.0
514,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Key Typos,0.0
515,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Letter Swap,0.0
516,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Synonyms,0.0
517,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Paraphrase,0.0
518,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Keyboard Typos,0.0
519,Immigration and its Effects,Q129,Mistral-7B-Instruct-v0.3,Paraphrase x Reversed,0.0
520,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Missing Refusal,2.72
521,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Even Scale,14.09
522,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Reversed Answer Options,8.54
523,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Emotional Priming,5.68
524,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Key Typos,6.93
525,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Letter Swap,4.61
526,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Synonyms,2.72
527,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Paraphrase,8.4
528,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Keyboard Typos,4.14
529,Immigration and its Effects,Q129,Qwen-2.5-7B-Instruct,Paraphrase x Reversed,8.4
530,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Missing Refusal,0.0
531,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Even Scale,8.52
532,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Reversed Answer Options,0.0
533,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Emotional Priming,8.52
534,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Key Typos,11.36
535,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Letter Swap,11.36
536,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Synonyms,5.68
537,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Paraphrase,11.36
538,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Keyboard Typos,14.2
539,Immigration and its Effects,Q129,Yi-1.5-6B-Chat,Paraphrase x Reversed,0.0
540,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Missing Refusal,1.09
541,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Even Scale,12.17
542,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Reversed Answer Options,5.87
543,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Emotional Priming,6.05
544,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Key Typos,7.19
545,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Letter Swap,9.57
546,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Synonyms,11.81
547,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Paraphrase,7.53
548,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Keyboard Typos,9.57
549,Moral and Ethical Justifiability,Q195,Llama-3.3-70B-Instruct,Paraphrase x Reversed,5.88
550,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Missing Refusal,11.8
551,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Even Scale,7.91
552,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Reversed Answer Options,14.08
553,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Emotional Priming,2.59
554,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Key Typos,1.48
555,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Letter Swap,2.3
556,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Synonyms,0.55
557,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Paraphrase,8.42
558,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Keyboard Typos,3.83
559,Moral and Ethical Justifiability,Q195,Llama-3.1-8B-Instruct,Paraphrase x Reversed,10.12
560,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Missing Refusal,2.02
561,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Even Scale,0.77
562,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Reversed Answer Options,7.08
563,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Emotional Priming,2.2
564,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Key Typos,10.71
565,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Letter Swap,9.2
566,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Synonyms,1.53
567,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Paraphrase,5.46
568,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Keyboard Typos,7.45
569,Moral and Ethical Justifiability,Q195,Llama-3.2-3B-Instruct,Paraphrase x Reversed,9.86
570,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Missing Refusal,5.64
571,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Even Scale,0.59
572,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Reversed Answer Options,5.32
573,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Emotional Priming,3.21
574,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Key Typos,7.52
575,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Letter Swap,4.18
576,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Synonyms,3.44
577,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Paraphrase,5.12
578,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Keyboard Typos,3.93
579,Moral and Ethical Justifiability,Q195,Llama-3.2-1B-Instruct,Paraphrase x Reversed,6.42
580,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Missing Refusal,4.87
581,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Even Scale,12.17
582,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Reversed Answer Options,2.43
583,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Emotional Priming,0.02
584,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Key Typos,2.47
585,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Letter Swap,0.39
586,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Synonyms,7.5
587,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Paraphrase,7.3
588,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Keyboard Typos,2.43
589,Moral and Ethical Justifiability,Q195,Gemini-1.5-Pro,Paraphrase x Reversed,7.3
590,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Missing Refusal,12.17
591,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Even Scale,12.17
592,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Reversed Answer Options,7.3
593,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Emotional Priming,9.73
594,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Key Typos,9.73
595,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Letter Swap,12.17
596,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Synonyms,7.3
597,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Paraphrase,9.73
598,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Keyboard Typos,9.73
599,Moral and Ethical Justifiability,Q195,Phi-3.5-mini,Paraphrase x Reversed,9.73
600,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Missing Refusal,4.87
601,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Even Scale,14.6
602,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Reversed Answer Options,7.3
603,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Emotional Priming,2.43
604,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Key Typos,4.87
605,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Letter Swap,7.3
606,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Synonyms,2.43
607,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Paraphrase,9.73
608,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Keyboard Typos,4.87
609,Moral and Ethical Justifiability,Q195,Mistral-7B-Instruct-v0.3,Paraphrase x Reversed,9.73
610,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Missing Refusal,11.24
611,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Even Scale,11.02
612,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Reversed Answer Options,11.13
613,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Emotional Priming,1.83
614,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Key Typos,3.12
615,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Letter Swap,4.06
616,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Synonyms,6.29
617,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Paraphrase,4.03
618,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Keyboard Typos,6.43
619,Moral and Ethical Justifiability,Q195,Qwen-2.5-7B-Instruct,Paraphrase x Reversed,11.04
620,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Missing Refusal,17.03
621,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Even Scale,14.6
622,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Reversed Answer Options,14.6
623,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Emotional Priming,12.17
624,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Key Typos,12.17
625,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Letter Swap,14.6
626,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Synonyms,12.17
627,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Paraphrase,14.6
628,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Keyboard Typos,14.6
629,Moral and Ethical Justifiability,Q195,Yi-1.5-6B-Chat,Paraphrase x Reversed,17.03
630,Political and Social Activism,Q220,Llama-3.3-70B-Instruct,Missing Refusal,0.0
